,id,follow,meet,givefuture,info,march,sign,give12m,compromise,tempobama,tempblack,tempwhite,temphisp,temppolice,tempfem,tempmuslim,tempsci,dem_cand,rep_cand,lazyb,lazy_w,lazy_h,lazy_m,violent_b,violent_w,violent_h,violent_m,econ_now,econ12m,pidAggr,ISSUES_1,ISSUES_2,ISSUES_3,ISSUES_4,ISSUES_5,ISSUES_6,ISSUES_7,ISSUES_8,ISSUES_9,ISSUES_10,ISSUES_11,ISSUES_12,ISSUES_13,ISSUES_14,ISSUES_15,ISSUES_16,ISSUES_17,ISSUES_18,ISSUES_19,ISSUES_20,ISSUES_21,discb,disch,discw,discg,discwo,discm,discmu,discc,discselfsex,srvspend,camfin,imlegal,imnumb,eqpay,pleave,crime_spend,death,terrorworry,terror12m,terrorlocal,incgp20,isistroops,mnwge,hlthspend,childcr,get_ahead,ladder,fin_well,warm,warm_cause,warm_do,free_trade,stpwhite,stpblack,frcwhite,frcblack,pkdeficit,pkspend,vaccine,autism,obama_muslim,amer_identity,race_identity,buycott,boycott,skin_tone,skin_disc,birthyr,gender
727,728,3,3,3,3,2,2,2,2,62,82,72,8,92,29,66,81,3.0,11.0,5,5,4,5,4,4,4,4,3,3,4.0,8,8,3,8,8,8,8,8,8,2,8,8,8,4,8,8,8,8,8,1,8,3,3,3,3,3,3,3,3,3,4,4,2,4,5,4,3,2,9,4,4,1,3,1,2,2,2,5,5,1,1,2,4,4,3,2,3,2,2,2,5,1,1,3,1,1,2,5,1959,1
672,673,2,5,3,3,2,2,1,2,0,50,50,70,40,20,30,70,3.0,7.0,3,3,3,3,3,3,3,2,3,4,4.0,8,1,8,8,8,8,8,8,8,4,2,8,8,8,8,8,8,8,3,8,8,4,4,4,4,4,4,3,4,4,1,4,1,1,7,7,6,4,9,4,5,2,7,4,7,7,3,5,5,1,2,7,1,3,4,3,4,1,1,7,2,2,3,2,1,1,2,3,1988,1
724,725,2,3,2,3,2,2,2,2,0,0,100,0,100,50,0,80,5.0,9.0,1,5,1,2,1,5,2,1,3,3,4.0,8,8,8,8,4,8,1,8,8,8,8,8,3,8,8,8,8,8,8,8,2,5,3,1,4,4,1,2,2,5,1,1,7,7,1,1,4,1,5,9,5,1,1,2,4,3,3,5,4,1,1,4,4,3,4,3,1,1,2,4,3,1,5,1,2,1,1,4,1982,2
751,752,3,5,5,5,2,2,2,2,3,90,100,94,25,90,1,60,5.0,11.0,3,4,2,5,2,4,3,3,4,4,4.0,8,8,1,8,8,8,8,8,8,4,8,3,2,8,8,8,8,8,8,8,8,3,3,3,2,1,3,2,4,4,4,7,1,1,1,1,2,4,2,9,1,3,1,1,3,3,2,6,6,1,1,4,4,3,3,3,3,1,2,7,1,1,5,1,2,2,1,4,1957,2
635,636,1,3,4,4,2,2,2,1,0,50,50,50,36,11,0,20,5.0,11.0,2,2,4,4,3,3,3,4,4,5,4.0,8,8,8,8,8,8,4,1,8,3,8,8,8,8,8,8,8,8,2,8,8,3,4,1,4,3,5,3,1,1,4,6,4,7,1,1,5,4,5,9,5,1,7,2,1,1,1,7,7,2,2,7,7,4,4,4,4,2,4,7,1,1,4,4,2,1,2,1,1959,2
1186,1187,3,4,5,5,2,2,2,1,1,51,90,55,56,60,41,70,3.0,9.0,3,3,2,3,5,3,3,4,3,2,4.0,8,2,8,8,8,8,8,8,8,8,8,8,8,3,1,8,8,8,8,8,4,4,4,3,4,3,3,3,2,3,4,4,3,4,1,2,2,4,9,2,1,2,7,1,2,1,2,4,3,1,2,5,6,4,3,4,5,1,2,4,5,1,1,3,2,1,5,4,1957,2
739,740,1,2,2,1,1,2,2,2,2,50,51,50,70,30,18,51,2.0,4.0,2,3,5,4,2,4,3,1,4,4,4.0,3,1,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,2,8,8,4,4,4,4,4,4,4,4,3,2,2,2,1,2,2,4,6,3,9,5,3,6,2,6,6,4,2,2,1,2,7,3,3,3,2,2,1,1,7,5,2,3,5,2,2,4,5,1996,1
815,816,4,5,5,5,2,2,2,1,100,28,50,34,67,78,48,86,1.0,11.0,2,4,4,5,1,3,4,3,2,2,4.0,8,8,8,8,8,8,8,3,8,8,1,8,8,8,8,8,8,2,8,8,4,3,5,5,3,3,5,3,5,4,997,4,4,5,4,4,3,4,9,4,3,1,4,1,3,3,2,4,3,1,1,1,4,2,4,1,4,2,1,4,3,2,4,3,2,2,2,5,1997,2
120,121,2,4,5,5,2,2,2,2,16,41,55,40,65,9,40,58,4.0,9.0,3,3,3,3,3,3,3,3,3,4,4.0,8,4,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,3,8,1,3,3,2,3,4,2,2,2,4,4,2,2,4,2,1,4,2,9,3,3,1,3,2,4,4,2,4,5,1,3,4,5,3,3,3,3,1,4,5,3,1,2,3,2,2,3,5,1972,2
996,997,3,5,5,5,2,2,2,2,34,70,91,69,71,62,57,62,5.0,11.0,3,3,3,3,3,3,3,3,3,3,4.0,8,8,8,8,8,4,8,8,8,8,8,2,8,3,1,8,8,8,8,8,8,3,3,3,3,3,3,3,3,4,6,6,3,3,1,3,3,4,9,3,4,2,4,1,3,3,2,5,5,1,3,3,6,3,3,3,3,1,4,4,3,2,2,3,2,2,2,4,1953,2
